medium_None_1_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                      aten::_transform_bias_rescale_qkv         2.57%     218.274ms         2.71%     229.578ms       1.196ms           192  
                                         aten::_softmax         2.61%     221.441ms         2.61%     221.441ms       1.153ms           192  
                                       aten::dequantize         1.17%      99.630ms         1.27%     108.110ms     164.802us           656  
                                  quantized::layer_norm         1.22%     103.628ms         1.26%     106.593ms     266.483us           400  
                              aten::quantize_per_tensor         1.09%      92.038ms         1.12%      95.096ms     204.948us           464  
                                         quantized::add         0.62%      52.483ms         0.68%      58.015ms     145.037us           400  
                                      quantized::conv2d         0.55%      46.644ms         0.62%      52.767ms       3.298ms            16  
                                            aten::copy_         0.59%      50.210ms         0.59%      50.210ms     130.755us           384  
                                       aten::contiguous         0.01%       1.195ms         0.39%      32.698ms     157.202us           208  
                                            aten::clone         0.08%       6.787ms         0.38%      32.080ms     154.231us           208  
enumerate(DataLoader)#_MultiProcessingDataLoaderIter...         0.36%      30.912ms         0.37%      31.348ms       1.844ms            17  
                                            aten::empty         0.23%      19.685ms         0.23%      19.685ms      13.194us          1492  
                                              aten::cat         0.04%       3.054ms         0.13%      11.266ms     352.062us            32  
                                             aten::item         0.11%       9.465ms         0.13%      11.196ms       4.484us          2497  
                          aten::_empty_affine_quantized         0.11%       9.432ms         0.11%       9.432ms       7.656us          1232  
                                           aten::narrow         0.04%       3.044ms         0.07%       5.809ms      10.085us           576  
                                                aten::t         0.02%       1.448ms         0.05%       4.258ms      11.089us           384  
                                        aten::transpose         0.04%       3.070ms         0.05%       4.174ms       7.247us           576  
                                       aten::empty_like         0.01%       1.184ms         0.05%       4.154ms      21.635us           192  
                                             aten::view         0.05%       3.967ms         0.05%       3.967ms       1.722us          2304  
                                          aten::resize_         0.05%       3.847ms         0.05%       3.847ms       9.570us           402  
                                            aten::slice         0.03%       2.654ms         0.04%       3.128ms       5.284us           592  
                                       aten::as_strided         0.03%       2.367ms         0.03%       2.367ms       1.479us          1600  
                                          aten::reshape         0.02%       1.599ms         0.03%       2.259ms       5.647us           400  
                                          aten::permute         0.02%       1.460ms         0.02%       2.101ms      10.101us           208  
                              aten::_local_scalar_dense         0.02%       1.804ms         0.02%       1.804ms       0.722us          2497  
                                     aten::_unsafe_view         0.01%       1.205ms         0.01%       1.205ms       6.276us           192  
                                           aten::expand         0.01%       1.019ms         0.01%       1.133ms       5.447us           208  
                                          aten::q_scale         0.01%     714.000us         0.01%     714.000us       0.288us          2480  
                                     aten::q_zero_point         0.01%     684.000us         0.01%     684.000us       0.276us          2480  
                                          aten::qscheme         0.01%     672.000us         0.01%     672.000us       0.494us          1360  
                                         aten::randperm         0.00%     315.000us         0.01%     607.000us     303.500us             2  
                                           aten::select         0.00%     203.000us         0.00%     208.000us      13.000us            16  
