highest_None_1_330
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              aten::_local_scalar_dense         0.03%       1.097ms         0.03%       1.097ms       0.439us          2497  
                                         aten::randperm         0.01%     475.000us         0.03%     977.000us     488.500us             2  
                                     aten::_unsafe_view         0.03%     886.000us         0.03%     886.000us       4.615us           192  
                                          aten::qscheme         0.02%     503.000us         0.02%     503.000us       0.370us          1360  
                                          aten::q_scale         0.01%     468.000us         0.01%     468.000us       0.189us          2480  
                                     aten::q_zero_point         0.01%     409.000us         0.01%     409.000us       0.165us          2480  
                                           aten::select         0.01%     211.000us         0.01%     215.000us      13.438us            16  
                                             aten::set_         0.00%     153.000us         0.00%     153.000us       4.500us            34  
                                          aten::detach_         0.00%     119.000us         0.00%     150.000us       4.412us            34  
                                   aten::_reshape_alias         0.00%     142.000us         0.00%     142.000us       8.875us            16  
                                                detach_         0.00%      36.000us         0.00%      36.000us       1.059us            34  
                                    aten::scalar_tensor         0.00%      34.000us         0.00%      34.000us      34.000us             1  
                                     aten::resolve_conj         0.00%      26.000us         0.00%      26.000us       0.017us          1537  
                                           aten::detach         0.00%       7.000us         0.00%      24.000us      24.000us             1  
                                          aten::random_         0.00%      17.000us         0.00%      17.000us      17.000us             1  
                                                 detach         0.00%      17.000us         0.00%      17.000us      17.000us             1  
